post_id,post_content,comment
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Lê Quang Vinh
dễ mà, sao bạn không tìm mua thứ bạn thích rồi đem tới tiệm cho người ta làm lấy công thôi"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Gia Huy
Nhận đóng liquid metal nếu bác thích
Ghé qua tân phú nhé, hoặc mình nhận làm tận nơi tính thêm phí
Uy tín,test nhiệt độ trước và sau khi làm thoải mái
Đây mình vít kịch kim i9-11900H của Acer Helios lên ~110w mà vẫn chỉ quanh quẩn dưới 85oC"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Vũ Minh
Mx4 mình thấy ok mà nhỉ, miễn đúng hàng chính hãng, quan trọng tay nghề thợ thế nào. Ko thì tự mua keo tự thay đi bro. Chứ thợ lỏm tháo toàn gãy pad dư ốc thôi, nản lắm"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Lê Khánh Duy
Qua gò vấp mua tui chích cho ít mx6"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Nguyễn Khánh
Đặt vài tấm honeywell về rồi đem ra memoryzone họ nhận thay á bác"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Đặng Minh Điền
Hóng"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Quốc Thái
Em yêu khoaa học đi bác"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Hoàng Nhật Quang
Tự mua đi bạn. Đem theo cho an tâm"
1842930249840565,"Tha thiết tìm chỗ vệ sinh laptop sử dụng loại keo tản nhiệt và thermal pad xịn ở trong khu vực biên hòa, ngã 4 thủ đức hoặc gần đường Phạm Văn Đồng. Em không chơi mx4 rẻ tiền nhé
#tuvan Ẩn bớt","Nguyễn Lâm
Sơn Giang hú"
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Tuấn
A 7 sài chán lắm"
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Thanh Đông
Nếu cần lắp VNPT ở HCM thì lhe mình nha. 300Mb ngoại thành 180k, nội thành 220k. Q5, Q6 cũng tính là Ngoại thành luôn"
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Nguyễn Việt Anh
Vnpt gói rẻ nhất ấy là đủ rồi"
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Thanh Tùng
Mình dùng gói viettel rẻ nhất, mua router asus về làm router chính, quay ppoe luôn, chạy phà phà. Mạng gói cao mà thiết bị không chịu tải nổi thì không ăn thua"
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Khac Pham
Nếu gói cũ thì khéo họ nói đúng đấy. Vì sau mấy đợt x2 băng thông thì spn4 chắc lên 1Gb rồi, mà gói này sẵn 2 cục mesh. Gói star3h có 1 mesh thôi.
Còn lại nên xem xét kiếm cục router khác về quay PPPOE chắc sẽ cải thiện hơn, nhưng cẩn thận không mesh được với 2 cục có sẵn."
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Nguyen Minh Tuan
Vnpt ib em"
1842980423168881,"Xin review về mạng của viettel,nhà mình đang sử dụng gói mạng viettel supernet 4(200mbps),hiện ngừng đăng ký r,mình lên website thấy có gói mới là star 3h 300mpbs đồng giá,nhưng đt lên tổng đài thì kêu là gói supernet 4 ngon hơn,kết nối đc nhiều thiết bị hơn,vậy ae nào dùng gói cả 2 gói qua r cho mình xin review phát.#hoidap","Toản Bé
bạn đăng ký gói thấp nhất của nó là dc. hộ gia đình thì 150-200Mb là thoải mái rồi, tốn thêm vài chục 1 tháng cũng ko để làm gì"
